timestamp,hand_detected,cursor_held,finger_mode,index_extended,middle_extended,raw_x,raw_y,virtual_x,virtual_y,inside_window,inside_interaction,state,target_block
9299.945,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
9301.016,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
9301.207,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
9301.410,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
9301.510,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
9301.700,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
9301.810,True,False,ONE_FINGER,True,False,0.66524,0.61166,665,863,False,True,BLOCK_HOVER,wood_5
9301.913,True,False,ONE_FINGER,True,True,0.62419,0.40912,624,577,True,True,BLOCK_HOVER,wood_5
9302.097,True,False,ONE_FINGER,True,True,0.53475,0.29724,534,419,True,True,BLOCK_ARMED,wood_5
9302.210,True,False,ONE_FINGER,True,False,0.52682,0.29600,526,417,True,True,SWIPING,wood_5
9302.403,True,False,ONE_FINGER,True,False,0.50959,0.32236,509,454,True,True,SWIPING,wood_5
9302.612,True,False,ONE_FINGER,True,False,0.51831,0.31598,518,445,True,True,SWIPING,wood_5
9302.802,True,False,ONE_FINGER,True,False,0.51549,0.29199,515,412,True,True,SWIPING,wood_5
9303.009,True,False,ONE_FINGER,True,False,0.54397,0.19374,543,273,True,True,BLOCK_REMOVED,wood_5
9303.203,True,False,ONE_FINGER,True,False,0.61051,0.11594,610,163,True,True,BLOCK_HOVER,wood_4
9303.409,True,False,ONE_FINGER,True,False,0.59785,0.15861,597,223,True,True,BLOCK_ARMED,wood_4
9303.602,True,False,ONE_FINGER,True,False,0.59544,0.24957,595,352,True,True,BLOCK_HOVER,wood_4
9303.809,True,False,ONE_FINGER,False,False,,,,,False,False,BLOCK_HOVER,wood_4
9304.002,True,False,ONE_FINGER,True,False,0.56176,0.43467,561,613,True,True,BLOCK_ARMED,wood_4
9304.209,True,False,ONE_FINGER,True,False,0.56080,0.40558,560,572,True,True,BLOCK_HOVER,wood_4
9304.401,True,False,ONE_FINGER,True,False,0.59110,0.20744,591,292,True,True,BLOCK_HOVER,wood_4
9304.610,True,False,ONE_FINGER,True,False,0.61788,0.23662,617,333,True,True,BLOCK_ARMED,wood_4
9304.802,True,False,ONE_FINGER,True,False,0.59401,0.22049,594,311,True,True,SWIPING,wood_4
9305.009,True,False,ONE_FINGER,True,False,0.56861,0.21390,568,301,True,True,SWIPING,wood_4
9305.202,True,False,ONE_FINGER,True,False,0.55711,0.27049,557,381,True,True,SWIPING,wood_4
9305.411,True,False,ONE_FINGER,True,False,0.56175,0.23451,561,330,True,True,SWIPING,wood_4
9305.601,True,False,ONE_FINGER,True,False,0.61773,0.18948,617,267,True,True,SWIPING,wood_4
9305.809,True,False,ONE_FINGER,True,False,0.62219,0.19140,622,270,True,True,SWIPING,wood_4
9306.001,True,False,ONE_FINGER,True,False,0.60991,0.21498,609,303,True,True,SWIPING,wood_4
9306.209,True,False,ONE_FINGER,True,False,0.60788,0.29050,607,409,True,True,SWIPING,wood_4
9306.401,True,False,ONE_FINGER,True,False,0.60109,0.30041,601,423,True,True,SWIPING,wood_4
9306.611,True,False,ONE_FINGER,True,False,0.57651,0.28878,576,407,True,True,SWIPING,wood_4
9306.802,True,False,ONE_FINGER,True,False,0.58196,0.31865,581,449,True,True,SWIPING,wood_4
9307.009,True,False,ONE_FINGER,True,False,0.58107,0.33078,581,466,True,True,SWIPING,wood_4
9307.200,True,False,ONE_FINGER,True,False,0.56494,0.24262,564,342,True,True,SWIPING,wood_4
9307.411,True,False,ONE_FINGER,True,False,0.60924,0.08520,609,120,True,True,FAILED,wood_4
9307.600,True,False,ONE_FINGER,True,False,0.64632,0.17915,646,252,True,True,FAILED,wood_4
9307.809,True,False,ONE_FINGER,True,False,0.60600,0.18754,606,264,True,True,BLOCK_HOVER,wood_4
