timestamp,raw_x,raw_y,smoothed_x,smoothed_y,current_phase
0.000,0.53800,0.45571,0.53800,0.45571,STARTED
0.145,0.53200,0.42571,0.53590,0.44521,STARTED
0.241,0.52800,0.40143,0.53314,0.42989,STARTED
0.337,0.52000,0.38143,0.52854,0.41293,STARTED
0.433,0.51700,0.38571,0.52450,0.40340,STARTED
0.546,0.51700,0.37857,0.52187,0.39471,STARTED
0.641,0.51700,0.37714,0.52017,0.38856,STARTED
0.738,0.50400,0.37571,0.51451,0.38407,STARTED
0.834,0.48700,0.37714,0.50488,0.38164,STARTED
0.947,0.47200,0.39000,0.49337,0.38457,FAILED
