timestamp,raw_x,raw_y,smoothed_x,smoothed_y,current_phase
0.000,0.58000,0.41000,0.58000,0.41000,STARTED
0.100,0.57900,0.49000,0.57965,0.43800,STARTED
0.198,0.57700,0.48286,0.57872,0.45370,STARTED
0.292,0.57600,0.48000,0.57777,0.46291,STARTED
0.404,0.58000,0.47000,0.57855,0.46539,STARTED
0.501,0.57900,0.43714,0.57871,0.45550,STARTED
0.595,0.57500,0.41429,0.57741,0.44108,STARTED
0.691,0.57900,0.40714,0.57797,0.42920,STARTED
0.804,0.57900,0.40286,0.57833,0.41998,STARTED
0.899,0.58700,0.40714,0.58136,0.41549,STARTED
0.996,0.59100,0.43429,0.58474,0.42207,STARTED
1.091,0.59400,0.46571,0.58798,0.43734,STARTED
1.204,0.60200,0.48714,0.59289,0.45477,STARTED
1.301,0.60100,0.52857,0.59573,0.48060,STARTED
1.397,0.59600,0.55429,0.59582,0.50639,STARTED
1.492,0.58200,0.58429,0.59098,0.53365,STARTED
1.604,0.54900,0.61714,0.57629,0.56288,STARTED
1.700,0.51200,0.66143,0.55379,0.59737,STARTED
1.795,0.48300,0.70571,0.52901,0.63529,FAILED
