timestamp,raw_x,raw_y,smoothed_x,smoothed_y,current_phase
0.000,0.56900,0.36714,0.56900,0.36714,STARTED
0.125,0.57900,0.37714,0.57250,0.37064,STARTED
0.222,0.58600,0.44000,0.57722,0.39492,STARTED
0.332,0.58500,0.46286,0.57995,0.41870,STARTED
0.428,0.58700,0.46143,0.58242,0.43365,STARTED
0.525,0.58900,0.45286,0.58472,0.44037,STARTED
0.620,0.59100,0.45143,0.58692,0.44424,STARTED
0.733,0.59300,0.45857,0.58905,0.44926,STARTED
0.829,0.59300,0.45857,0.59043,0.45252,STARTED
0.925,0.59400,0.45571,0.59168,0.45364,STARTED
1.020,0.59300,0.45857,0.59214,0.45536,STARTED
1.133,0.60000,0.46571,0.59489,0.45899,STARTED
1.229,0.60800,0.49143,0.59948,0.47034,DOWNSTROKE_OK
1.325,0.61200,0.53286,0.60386,0.49222,DOWNSTROKE_OK
1.422,0.61300,0.61000,0.60706,0.53344,DOWNSTROKE_OK
1.533,0.60600,0.64286,0.60669,0.57174,DOWNSTROKE_OK
1.629,0.59700,0.66143,0.60330,0.60313,DOWNSTROKE_OK
1.725,0.56400,0.67143,0.58954,0.62703,DOWNSTROKE_OK
1.820,0.53800,0.68571,0.57150,0.64757,DOWNSTROKE_OK
1.933,0.51100,0.66571,0.55033,0.65392,DOWNSTROKE_OK
2.029,0.48200,0.63857,0.52641,0.64855,DOWNSTROKE_OK
2.124,0.46800,0.62286,0.50597,0.63956,DOWNSTROKE_OK
2.221,0.46600,0.61143,0.49198,0.62971,FAILED
