timestamp,raw_x,raw_y,smoothed_x,smoothed_y,current_phase
0.000,0.47800,0.68143,0.47800,0.68143,STARTED
0.099,0.51200,0.67000,0.48990,0.67743,STARTED
0.196,0.51600,0.66286,0.49903,0.67233,STARTED
0.308,0.51400,0.66429,0.50427,0.66951,STARTED
0.405,0.51800,0.66143,0.50908,0.66668,STARTED
0.500,0.53300,0.64857,0.51745,0.66034,STARTED
0.596,0.53300,0.65000,0.52289,0.65672,STARTED
0.709,0.53200,0.65000,0.52608,0.65437,STARTED
0.804,0.53300,0.64857,0.52850,0.65234,STARTED
0.901,0.52900,0.65571,0.52868,0.65352,STARTED
0.997,0.53200,0.64857,0.52984,0.65179,STARTED
1.109,0.53600,0.64714,0.53200,0.65016,STARTED
1.205,0.54500,0.64143,0.53655,0.64711,STARTED
1.301,0.55700,0.62429,0.54371,0.63912,STARTED
1.396,0.56900,0.61143,0.55256,0.62943,STARTED
1.510,0.58000,0.60000,0.56216,0.61913,STARTED
1.605,0.58600,0.59286,0.57051,0.60993,FAILED
