timestamp,raw_x,raw_y,smoothed_x,smoothed_y,current_phase
0.000,0.61100,0.40714,0.61100,0.40714,STARTED
0.116,0.61200,0.44000,0.61135,0.41864,STARTED
0.212,0.61400,0.44429,0.61228,0.42762,STARTED
0.323,0.61500,0.44714,0.61323,0.43445,STARTED
0.422,0.61500,0.44571,0.61385,0.43839,STARTED
0.514,0.61600,0.44286,0.61460,0.43996,STARTED
0.611,0.61700,0.45286,0.61544,0.44447,STARTED
0.723,0.62300,0.50429,0.61809,0.46541,STARTED
0.820,0.61500,0.53714,0.61701,0.49051,STARTED
0.917,0.61300,0.55429,0.61560,0.51283,STARTED
1.012,0.61300,0.56857,0.61469,0.53234,STARTED
1.124,0.60800,0.57429,0.61235,0.54702,STARTED
1.220,0.60300,0.57714,0.60908,0.55756,STARTED
1.316,0.59600,0.58143,0.60450,0.56592,STARTED
1.412,0.58400,0.60000,0.59733,0.57785,STARTED
1.523,0.57400,0.61143,0.58916,0.58960,STARTED
1.618,0.56500,0.62286,0.58070,0.60124,STARTED
1.716,0.55000,0.63571,0.56996,0.61331,STARTED
1.809,0.54000,0.64714,0.55947,0.62515,FAILED
