timestamp,hand_detected,cursor_held,finger_mode,index_extended,middle_extended,raw_x,raw_y,virtual_x,virtual_y,inside_window,inside_interaction,state,target_block
8869.472,True,False,ONE_FINGER,True,True,0.47559,0.40109,475,566,True,True,TRACKING,
8869.680,True,False,ONE_FINGER,True,True,0.48159,0.41390,481,584,True,True,TRACKING,
8869.872,True,False,ONE_FINGER,True,True,0.50487,0.39699,504,560,True,True,TRACKING,
8870.081,True,False,ONE_FINGER,True,True,0.53232,0.38717,532,546,True,True,TRACKING,
8870.272,True,False,ONE_FINGER,True,True,0.57539,0.43497,575,613,True,True,TRACKING,
8870.480,True,False,ONE_FINGER,True,True,0.59453,0.44860,594,633,True,True,TRACKING,
8870.673,True,False,ONE_FINGER,True,True,0.60240,0.41836,602,590,True,True,TRACKING,
8870.881,True,False,ONE_FINGER,True,True,0.60303,0.34048,603,480,True,True,TRACKING,
8871.074,True,False,ONE_FINGER,True,True,0.58308,0.28936,583,408,True,True,BLOCK_HOVER,wood_5
8871.280,True,False,ONE_FINGER,True,True,0.56144,0.30982,561,437,True,True,BLOCK_ARMED,wood_5
8871.471,True,False,ONE_FINGER,True,True,0.55026,0.30276,550,427,True,True,BLOCK_ARMED,wood_5
8871.682,True,False,ONE_FINGER,True,True,0.54748,0.32967,547,465,True,True,BLOCK_ARMED,wood_5
8871.872,True,False,ONE_FINGER,True,True,0.55098,0.33978,550,479,True,True,TRACKING,
8872.081,True,False,ONE_FINGER,True,True,0.55364,0.34159,553,482,True,True,TRACKING,
8872.271,True,False,ONE_FINGER,True,True,0.55368,0.34787,553,490,True,True,TRACKING,
8872.481,True,False,ONE_FINGER,True,True,0.55637,0.34865,556,492,True,True,TRACKING,
8872.674,True,False,ONE_FINGER,True,True,0.55495,0.35045,554,494,True,True,TRACKING,
8872.883,True,False,ONE_FINGER,True,True,0.55732,0.34793,557,491,True,True,TRACKING,
8873.077,True,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8873.283,True,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8873.475,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8873.578,True,False,ONE_FINGER,True,True,0.49236,0.84064,492,875,False,True,TRACKING,
8873.689,True,False,ONE_FINGER,True,True,0.49213,0.85585,492,875,False,True,TRACKING,
8873.875,True,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8874.083,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8874.277,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8874.483,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8874.677,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8874.884,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8875.075,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8875.287,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8875.476,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8875.683,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8875.874,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8876.083,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8876.273,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8876.481,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8876.675,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8876.885,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8877.079,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8877.289,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8877.479,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8877.684,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8877.793,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8877.990,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8878.183,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8878.379,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8878.488,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8878.680,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8878.885,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8879.081,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8879.288,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8879.476,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8879.684,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8879.884,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8880.084,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8880.284,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8880.489,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8880.679,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8880.788,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8880.981,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8881.175,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8881.284,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8881.384,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8881.581,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8881.686,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8881.879,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8882.085,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8882.292,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8882.484,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8882.584,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8882.776,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8882.889,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8883.076,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8883.288,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8883.479,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8883.688,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8883.788,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8883.976,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8884.084,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8884.275,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8884.385,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8884.584,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8884.781,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8884.888,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8885.075,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8885.288,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8885.480,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8885.689,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8885.875,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8886.084,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8886.184,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8886.287,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8886.488,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8886.675,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8886.884,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8887.084,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8887.284,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8887.385,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8887.571,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8887.684,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8887.877,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8888.101,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8888.284,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8888.485,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8888.680,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8888.889,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8889.084,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8889.284,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8889.384,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8889.577,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8889.690,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8889.885,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8890.089,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8890.280,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8890.488,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8890.684,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8890.888,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8891.080,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8891.285,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8891.481,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8891.688,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8891.877,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8891.977,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8892.089,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8892.280,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8892.485,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8892.680,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8892.788,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8892.889,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8893.081,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8893.289,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8893.389,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8893.572,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8893.688,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8893.876,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8894.087,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8894.277,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8894.488,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8894.588,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8894.776,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8894.901,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
8895.088,False,False,ONE_FINGER,False,False,,,,,False,False,TRACKING,
