timestamp,raw_x,raw_y,smoothed_x,smoothed_y,current_phase
0.000,0.44300,0.63143,0.44300,0.63143,STARTED
0.088,0.50200,0.68857,0.46365,0.65143,STARTED
0.201,0.53600,0.68000,0.48897,0.66143,STARTED
0.296,0.58400,0.64000,0.52223,0.65393,STARTED
0.392,0.61500,0.61857,0.55470,0.64155,STARTED
0.489,0.63200,0.61571,0.58176,0.63251,STARTED
0.601,0.63500,0.62857,0.60039,0.63113,STARTED
0.697,0.65200,0.64143,0.61845,0.63474,STARTED
0.792,0.65400,0.62429,0.63090,0.63108,STARTED
0.889,0.66000,0.48857,0.64108,0.58120,STARTED
